Name,Time,Amperage_A,Amperage_B,Amperage_C,Env_temp,Humidity,Upper_oil_temp,H2_concentration,CO_concentration,Built
Ледовый Дворец\Т-2,2016-04-13 10:00:00,13.293880837359097,14.191447486133477,14.668276972624799,22.0,2.0837881419670157,41.0,11.952111514051655,26.791210818520703,2013
Ледовый Дворец\Т-2,2016-04-13 11:00:00,13.302737520128824,14.197978171408124,14.674718196457327,22.0,2.084109169330874,41.0,11.953311941631382,26.77733086159759,2013
Ледовый Дворец\Т-2,2016-04-13 12:00:00,13.31159420289855,14.20450885668277,14.681159420289855,22.0,2.0844301966947323,41.0,11.954512369211107,26.763450904674478,2013
Ледовый Дворец\Т-2,2016-04-13 13:00:00,13.320450885668278,14.211039541957417,14.687600644122384,22.0,2.0847512240585906,41.0,11.955712796790834,26.749570947751362,2013
Ледовый Дворец\Т-2,2016-04-13 14:00:00,13.329307568438002,14.217570227232063,14.694041867954912,22.0,2.085072251422449,41.0,11.956913224370561,26.73569099082825,2013
Ледовый Дворец\Т-2,2016-04-13 15:00:00,13.33816425120773,14.22410091250671,14.70048309178744,22.0,2.085393278786307,41.0,11.958113651950287,26.721811033905134,2013
Ледовый Дворец\Т-2,2016-04-13 16:00:00,13.347020933977456,14.230631597781358,14.706924315619968,22.0,2.0857143061501655,41.0,11.959314079530014,26.70793107698202,2013
Ледовый Дворец\Т-2,2016-04-13 17:00:00,13.355877616747183,14.237162283056003,14.713365539452496,22.0,2.086035333514024,41.0,11.960514507109739,26.69405112005891,2013
Ледовый Дворец\Т-2,2016-04-13 18:00:00,13.364734299516908,14.24369296833065,14.719806763285025,22.0,2.086356360877882,41.0,11.961714934689466,26.680171163135793,2013
Ледовый Дворец\Т-2,2016-04-13 19:00:00,13.373590982286634,14.250223653605296,14.726247987117553,22.0,2.0866773882417404,41.0,11.962915362269193,26.66629120621268,2013
Ледовый Дворец\Т-2,2016-04-13 20:00:00,13.382447665056361,14.256754338879944,14.732689210950081,22.0,2.0869984156055987,41.0,11.964115789848918,26.652411249289568,2013
Ледовый Дворец\Т-2,2016-04-13 21:00:00,13.391304347826086,14.263285024154591,14.73913043478261,22.0,2.087319442969457,41.0,11.965316217428645,26.63853129236645,2013
Ледовый Дворец\Т-2,2016-04-13 22:00:00,13.400161030595813,14.269815709429237,14.745571658615138,22.0,2.0876404703333153,41.0,11.966516645008372,26.62465133544334,2013
Ледовый Дворец\Т-2,2016-04-13 23:00:00,13.40901771336554,14.276346394703884,14.752012882447666,22.0,2.0879614976971737,41.0,11.967717072588098,26.610771378520226,2013
Ледовый Дворец\Т-2,2016-04-14 00:00:00,13.417874396135266,14.28287707997853,14.758454106280194,22.0,2.088282525061032,41.0,11.968917500167825,26.59689142159711,2013
Ледовый Дворец\Т-2,2016-04-14 01:00:00,13.426731078904991,14.289407765253177,14.764895330112722,22.0,2.0886035524248903,41.0,11.97011792774755,26.583011464673998,2013
Ледовый Дворец\Т-2,2016-04-14 02:00:00,13.435587761674718,14.295938450527823,14.77133655394525,22.0,2.0889245797887486,41.0,11.971318355327277,26.569131507750882,2013
Ледовый Дворец\Т-2,2016-04-14 03:00:00,13.444444444444445,14.30246913580247,14.777777777777779,22.0,2.089245607152607,41.0,11.972518782907004,26.55525155082777,2013
Ледовый Дворец\Т-2,2016-04-14 04:00:00,13.453301127214171,14.308999821077116,14.784219001610307,22.0,2.089566634516465,41.0,11.97371921048673,26.541371593904657,2013
Ледовый Дворец\Т-2,2016-04-14 05:00:00,13.462157809983896,14.315530506351763,14.790660225442835,22.0,2.0898876618803235,41.0,11.974919638066456,26.52749163698154,2013
Ледовый Дворец\Т-2,2016-04-14 06:00:00,13.471014492753623,14.32206119162641,14.797101449275363,22.0,2.090208689244182,41.0,11.976120065646182,26.51361168005843,2013
Ледовый Дворец\Т-2,2016-04-14 07:00:00,13.47987117552335,14.328591876901056,14.803542673107891,22.0,2.09052971660804,41.0,11.977320493225909,26.499731723135312,2013
Ледовый Дворец\Т-2,2016-04-14 08:00:00,13.488727858293075,14.335122562175703,14.80998389694042,22.0,2.0908507439718984,41.0,11.978520920805636,26.4858517662122,2013
Ледовый Дворец\Т-2,2016-04-14 09:00:00,13.497584541062801,14.341653247450349,14.816425120772946,22.0,2.0911717713357567,41.0,11.979721348385361,26.471971809289087,2013
Ледовый Дворец\Т-2,2016-04-14 10:00:00,13.506441223832528,14.348183932724996,14.822866344605474,22.0,2.091492798699615,41.0,11.980921775965088,26.458091852365975,2013
Ледовый Дворец\Т-2,2016-04-14 11:00:00,13.515297906602255,14.354714617999642,14.829307568438002,22.0,2.0918138260634733,41.0,11.982122203544815,26.44421189544286,2013
Ледовый Дворец\Т-2,2016-04-14 12:00:00,13.524154589371982,14.36124530327429,14.83574879227053,22.0,2.0921348534273316,41.0,11.98332263112454,26.430331938519746,2013
